"","source","target","cluster","pct","srcpop","tarpop"
"1776","Morton County, North Dakota","Burleigh County, North Dakota",1,0.255542208146773,27471,81308
"497","McHenry County, North Dakota","Ward County, North Dakota",1,0.145134383688601,5395,61675
"567","Renville County, North Dakota","Ward County, North Dakota",1,0.121862348178138,2470,61675
"994","Billings County, North Dakota","Stark County, North Dakota",1,0.111111111111111,783,24199
"3550","Ransom County, North Dakota","Sargent County, North Dakota",1,0.0888766721641928,5457,3829
"2557","Traill County, North Dakota","Grand Forks County, North Dakota",1,0.0780692033000862,8121,66861
"1208","Slope County, North Dakota","Bowman County, North Dakota",1,0.0729023383768913,727,3151
"1064","Dunn County, North Dakota","Stark County, North Dakota",1,0.0704185520361991,3536,24199
"2697","Steele County, North Dakota","Traill County, North Dakota",1,0.0683544303797468,1975,8121
"2344","Richland County, North Dakota","Cass County, North Dakota",1,0.0539182648122051,16321,149778
"1706","Oliver County, North Dakota","Burleigh County, North Dakota",1,0.0536294691224269,1846,81308
"1134","Hettinger County, North Dakota","Stark County, North Dakota",1,0.0528865563181268,2477,24199
"2911","Pembina County, North Dakota","Walsh County, North Dakota",1,0.0445163901254553,7413,11119
"3905","Sheridan County, North Dakota","Wells County, North Dakota",1,0.0370931112793338,1321,4207
"2415","Cass County, North Dakota","Clay County, Minnesota",1,0.0355325882305813,149778,58999
"1846","Burleigh County, North Dakota","Morton County, North Dakota",1,0.0351133959757957,81308,27471
"637","Bottineau County, North Dakota","Ward County, North Dakota",1,0.0343754860787059,6429,61675
"2555","Traill County, North Dakota","Cass County, North Dakota",1,0.033862824775274,8121,149778
"1916","Grant County, North Dakota","Morton County, North Dakota",1,0.0338345864661654,2394,27471
"4238","Nelson County, North Dakota","Grand Forks County, North Dakota",1,0.0326295585412668,3126,66861
"2057","McLean County, North Dakota","Burleigh County, North Dakota",1,0.0307966971658112,8962,81308
"3177","Kidder County, North Dakota","Burleigh County, North Dakota",1,0.0299794661190965,2435,81308
"3124","Logan County, North Dakota","Stutsman County, North Dakota",1,0.0296482412060302,1990,21100
"1708","Oliver County, North Dakota","Mercer County, North Dakota",1,0.0292524377031419,1846,8424
"2343","Richland County, North Dakota","Wilkin County, Minnesota",1,0.0286134428037498,16321,6576
"3614","LaMoure County, North Dakota","Stutsman County, North Dakota",1,0.0273012805025368,4139,21100
"4259","Nelson County, North Dakota","Ramsey County, North Dakota",1,0.027191298784389,3126,11451
"4047","Eddy County, North Dakota","Foster County, North Dakota",1,0.0264150943396226,2385,3343
"2037","McLean County, North Dakota","Ward County, North Dakota",1,0.0258870787770587,8962,61675
"4189","Benson County, North Dakota","Ramsey County, North Dakota",1,0.0252252252252252,6660,11451
"2838","Walsh County, North Dakota","Grand Forks County, North Dakota",1,0.0249123122582966,11119,66861
"356","Burke County, North Dakota","Ward County, North Dakota",1,0.0238821138211382,1968,61675
"3480","Sargent County, North Dakota","Ransom County, North Dakota",1,0.0232436667537216,3829,5457
"2629","Grand Forks County, North Dakota","Polk County, Minnesota",1,0.0231076412258267,66861,31600
"782","Towner County, North Dakota","Rolette County, North Dakota",1,0.0227070347284061,2246,13937
"143","McKenzie County, North Dakota","Richland County, Montana",1,0.0221698113207547,6360,9746
"3482","Sargent County, North Dakota","Dickey County, North Dakota",1,0.0216766779838078,3829,5289
"3194","Kidder County, North Dakota","Stutsman County, North Dakota",1,0.0213552361396304,2435,21100
"3126","Logan County, North Dakota","McIntosh County, North Dakota",1,0.0201005025125628,1990,2809
"3836","Wells County, North Dakota","Foster County, North Dakota",1,0.0194913239838365,4207,3343
"3404","Barnes County, North Dakota","Stutsman County, North Dakota",1,0.0188866799204771,11066,21100
"141","McKenzie County, North Dakota","Williams County, North Dakota",1,0.0179245283018868,6360,22398
"3535","Ransom County, North Dakota","Cass County, North Dakota",1,0.0177753344328386,5457,149778
"3395","Barnes County, North Dakota","Cass County, North Dakota",1,0.0177119103560455,11066,149778
"2127","Emmons County, North Dakota","Burleigh County, North Dakota",1,0.0174647887323944,3550,81308
"1078","Dunn County, North Dakota","Mercer County, North Dakota",1,0.0169683257918552,3536,8424
"4049","Eddy County, North Dakota","Benson County, North Dakota",1,0.0163522012578616,2385,6660
"142","McKenzie County, North Dakota","Mountrail County, North Dakota",1,0.0157232704402516,6360,7673
"2841","Walsh County, North Dakota","Pembina County, North Dakota",1,0.0153790808525947,11119,7413
"355","Burke County, North Dakota","Divide County, North Dakota",1,0.0152439024390244,1968,2071
"281","Divide County, North Dakota","Williams County, North Dakota",1,0.0149686141960406,2071,22398
"2059","McLean County, North Dakota","Mercer County, North Dakota",1,0.0149520196384736,8962,8424
"2982","Cavalier County, North Dakota","Pembina County, North Dakota",1,0.0145254194840972,3993,7413
"500","McHenry County, North Dakota","Pierce County, North Dakota",1,0.0139017608897127,5395,4357
"1917","Grant County, North Dakota","Burleigh County, North Dakota",1,0.0137844611528822,2394,81308
"3964","Foster County, North Dakota","Stutsman County, North Dakota",1,0.0134609632067006,3343,21100
"351","Burke County, North Dakota","Williams County, North Dakota",1,0.0132113821138211,1968,22398
"72","Mountrail County, North Dakota","McKenzie County, North Dakota",1,0.0131630392284634,7673,6360
"1491","Adams County, North Dakota","Perkins County, South Dakota",1,0.0128040973111396,2343,2982
"3692","Dickey County, North Dakota","LaMoure County, North Dakota",1,0.0126678010966156,5289,4139
"1207","Slope County, North Dakota","Hettinger County, North Dakota",1,0.0123796423658872,727,2477
"2359","Richland County, North Dakota","Sargent County, North Dakota",1,0.012254151093683,16321,3829
"3622","LaMoure County, North Dakota","Dickey County, North Dakota",1,0.0118386083595071,4139,5289
"569","Renville County, North Dakota","Bottineau County, North Dakota",1,0.0117408906882591,2470,6429
"3329","Griggs County, North Dakota","Steele County, North Dakota",1,0.0115702479338843,2420,1975
"544","McHenry County, North Dakota","Wells County, North Dakota",1,0.011306765523633,5395,4207
"2695","Steele County, North Dakota","Cass County, North Dakota",1,0.0111392405063291,1975,149778
"4048","Eddy County, North Dakota","Ramsey County, North Dakota",1,0.0109014675052411,2385,11451
"1053","Dunn County, North Dakota","McKenzie County, North Dakota",1,0.0104638009049774,3536,6360
"285","Divide County, North Dakota","Burke County, North Dakota",1,0.0101400289715113,2071,1968
"3693","Dickey County, North Dakota","Brown County, South Dakota",1,0.0100207978823974,5289,36531
"4119","Ramsey County, North Dakota","Benson County, North Dakota",1,0.00995546240503013,11451,6660
"3619","LaMoure County, North Dakota","Barnes County, North Dakota",1,0.00966417008939357,4139,11066
"3690","Dickey County, North Dakota","Sargent County, North Dakota",1,0.00964265456608055,5289,3829
"1705","Oliver County, North Dakota","Morton County, North Dakota",1,0.00920910075839653,1846,27471
"3338","Griggs County, North Dakota","Barnes County, North Dakota",1,0.00909090909090909,2420,11066
"639","Bottineau County, North Dakota","Renville County, North Dakota",1,0.00886607559496034,6429,2470
"3464","Sargent County, North Dakota","Richland County, North Dakota",1,0.00861843823452599,3829,16321
"1278","Bowman County, North Dakota","Slope County, North Dakota",1,0.00825134877816566,3151,727
"76","Mountrail County, North Dakota","Ward County, North Dakota",1,0.00794995438550762,7673,61675
"3968","Foster County, North Dakota","Griggs County, North Dakota",1,0.00777744540831589,3343,2420
"642","Bottineau County, North Dakota","Rolette County, North Dakota",1,0.00762171410794836,6429,13937
"71","Mountrail County, North Dakota","Williams County, North Dakota",1,0.00755897302228594,7673,22398
"1773","Morton County, North Dakota","Sioux County, North Dakota",1,0.00720760074260129,27471,4153
"352","Burke County, North Dakota","Mountrail County, North Dakota",1,0.00711382113821138,1968,7673
"1279","Bowman County, North Dakota","Fallon County, Montana",1,0.00666455093621073,3151,2890
"2708","Steele County, North Dakota","Barnes County, North Dakota",1,0.00658227848101266,1975,11066
"2908","Pembina County, North Dakota","Grand Forks County, North Dakota",1,0.00634021313907999,7413,66861
